dataset,replicate,seed,method,round,epsilon,metric_name,metric_value
femnist,9,109,stable-local-fallback,20,2.456862121625803,user_macro_accuracy,0.154375
femnist,9,109,stable-local-fallback,30,3.0456862121625807,user_macro_accuracy,0.15140625
femnist,9,109,stable-local-fallback,40,3.5289407275705784,user_macro_accuracy,0.09828125
femnist,9,109,stable-local-fallback,50,4.0,user_macro_accuracy,0.09828125
femnist,9,109,naive-recalibrated-2c,0,0.0,user_macro_accuracy,0.09578125
femnist,9,109,naive-recalibrated-2c,10,1.7096469091901927,user_macro_accuracy,0.09734375
femnist,9,109,naive-recalibrated-2c,20,2.456862121625803,user_macro_accuracy,0.09546875
femnist,9,109,naive-recalibrated-2c,30,3.0456862121625807,user_macro_accuracy,0.16921875
femnist,9,109,naive-recalibrated-2c,40,3.5289407275705784,user_macro_accuracy,0.11375
femnist,9,109,naive-recalibrated-2c,50,4.0,user_macro_accuracy,0.11296875
femnist,10,110,unitscope-lambda-sweep,0,0.0,user_macro_accuracy,0.1178125
femnist,10,110,unitscope-lambda-sweep,10,1.7096469091901927,user_macro_accuracy,0.11984375
femnist,10,110,unitscope-lambda-sweep,20,2.456862121625803,user_macro_accuracy,0.17515625
femnist,10,110,unitscope-lambda-sweep,30,3.0456862121625807,user_macro_accuracy,0.1146875
femnist,10,110,unitscope-lambda-sweep,40,3.5289407275705784,user_macro_accuracy,0.11828125
femnist,10,110,unitscope-lambda-sweep,50,4.0,user_macro_accuracy,0.17140625
femnist,10,110,handle-only-drop-residual,0,0.0,user_macro_accuracy,0.1178125
femnist,10,110,handle-only-drop-residual,10,1.7096469091901927,user_macro_accuracy,0.12515625
femnist,10,110,handle-only-drop-residual,20,2.456862121625803,user_macro_accuracy,0.18140625
femnist,10,110,handle-only-drop-residual,30,3.0456862121625807,user_macro_accuracy,0.1184375
femnist,10,110,handle-only-drop-residual,40,3.5289407275705784,user_macro_accuracy,0.11828125
femnist,10,110,handle-only-drop-residual,50,4.0,user_macro_accuracy,0.18046875
femnist,10,110,stable-local-fallback,0,0.0,user_macro_accuracy,0.1178125
femnist,10,110,stable-local-fallback,10,1.7096469091901927,user_macro_accuracy,0.1415625
femnist,10,110,stable-local-fallback,20,2.456862121625803,user_macro_accuracy,0.1403125
femnist,10,110,stable-local-fallback,30,3.0456862121625807,user_macro_accuracy,0.1028125
femnist,10,110,stable-local-fallback,40,3.5289407275705784,user_macro_accuracy,0.12828125
femnist,10,110,stable-local-fallback,50,4.0,user_macro_accuracy,0.13328125
femnist,10,110,naive-recalibrated-2c,0,0.0,user_macro_accuracy,0.1178125
femnist,10,110,naive-recalibrated-2c,10,1.7096469091901927,user_macro_accuracy,0.14703125
femnist,10,110,naive-recalibrated-2c,20,2.456862121625803,user_macro_accuracy,0.16796875
femnist,10,110,naive-recalibrated-2c,30,3.0456862121625807,user_macro_accuracy,0.1309375
femnist,10,110,naive-recalibrated-2c,40,3.5289407275705784,user_macro_accuracy,0.12921875
femnist,10,110,naive-recalibrated-2c,50,4.0,user_macro_accuracy,0.14203125
femnist,11,111,naive-recalibrated-2c,0,0.0,user_macro_accuracy,0.09734375
femnist,11,111,naive-recalibrated-2c,10,1.7096469091901927,user_macro_accuracy,0.0890625
femnist,11,111,naive-recalibrated-2c,20,2.456862121625803,user_macro_accuracy,0.09875
femnist,11,111,naive-recalibrated-2c,30,3.0456862121625807,user_macro_accuracy,0.05015625
femnist,11,111,naive-recalibrated-2c,40,3.5289407275705784,user_macro_accuracy,0.2025
femnist,11,111,naive-recalibrated-2c,50,4.0,user_macro_accuracy,0.12703125
femnist,11,111,stable-local-fallback,0,0.0,user_macro_accuracy,0.09734375
femnist,11,111,stable-local-fallback,10,1.7096469091901927,user_macro_accuracy,0.099375
femnist,11,111,stable-local-fallback,20,2.456862121625803,user_macro_accuracy,0.1025
femnist,11,111,stable-local-fallback,30,3.0456862121625807,user_macro_accuracy,0.09734375
femnist,11,111,stable-local-fallback,40,3.5289407275705784,user_macro_accuracy,0.1578125
femnist,11,111,stable-local-fallback,50,4.0,user_macro_accuracy,0.1115625
femnist,11,111,handle-only-drop-residual,0,0.0,user_macro_accuracy,0.09734375
femnist,11,111,handle-only-drop-residual,10,1.7096469091901927,user_macro_accuracy,0.1003125
femnist,11,111,handle-only-drop-residual,20,2.456862121625803,user_macro_accuracy,0.1025
femnist,11,111,handle-only-drop-residual,30,3.0456862121625807,user_macro_accuracy,0.10015625
femnist,11,111,handle-only-drop-residual,40,3.5289407275705784,user_macro_accuracy,0.19328125
femnist,11,111,handle-only-drop-residual,50,4.0,user_macro_accuracy,0.12078125
femnist,11,111,unitscope-lambda-sweep,0,0.0,user_macro_accuracy,0.09734375
femnist,11,111,unitscope-lambda-sweep,10,1.7096469091901927,user_macro_accuracy,0.10015625
femnist,11,111,unitscope-lambda-sweep,20,2.456862121625803,user_macro_accuracy,0.1025
femnist,11,111,unitscope-lambda-sweep,30,3.0456862121625807,user_macro_accuracy,0.10046875
femnist,11,111,unitscope-lambda-sweep,40,3.5289407275705784,user_macro_accuracy,0.1915625
femnist,11,111,unitscope-lambda-sweep,50,4.0,user_macro_accuracy,0.12078125
femnist,12,112,naive-recalibrated-2c,0,0.0,user_macro_accuracy,0.0953125
femnist,12,112,naive-recalibrated-2c,10,1.7096469091901927,user_macro_accuracy,0.1113125
femnist,12,112,naive-recalibrated-2c,20,2.456862121625803,user_macro_accuracy,0.0877
femnist,12,112,naive-recalibrated-2c,30,3.0456862121625807,user_macro_accuracy,0.12836875
femnist,12,112,naive-recalibrated-2c,40,3.5289407275705784,user_macro_accuracy,0.10595625
femnist,12,112,naive-recalibrated-2c,50,4.0,user_macro_accuracy,0.12825625000000002
femnist,12,112,handle-only-drop-residual,0,0.0,user_macro_accuracy,0.0953125
femnist,12,112,handle-only-drop-residual,10,1.7096469091901927,user_macro_accuracy,0.10459375
femnist,12,112,handle-only-drop-residual,20,2.456862121625803,user_macro_accuracy,0.12316875
femnist,12,112,handle-only-drop-residual,30,3.0456862121625807,user_macro_accuracy,0.14145
femnist,12,112,handle-only-drop-residual,40,3.5289407275705784,user_macro_accuracy,0.13234375
femnist,12,112,handle-only-drop-residual,50,4.0,user_macro_accuracy,0.14019375
femnist,12,112,unitscope-lambda-sweep,0,0.0,user_macro_accuracy,0.0953125
femnist,12,112,unitscope-lambda-sweep,10,1.7096469091901927,user_macro_accuracy,0.1050625
femnist,12,112,unitscope-lambda-sweep,20,2.456862121625803,user_macro_accuracy,0.1252
femnist,12,112,unitscope-lambda-sweep,30,3.0456862121625807,user_macro_accuracy,0.1352
femnist,12,112,unitscope-lambda-sweep,40,3.5289407275705784,user_macro_accuracy,0.13
femnist,12,112,unitscope-lambda-sweep,50,4.0,user_macro_accuracy,0.137225
femnist,12,112,stable-local-fallback,0,0.0,user_macro_accuracy,0.0953125
femnist,12,112,stable-local-fallback,10,1.7096469091901927,user_macro_accuracy,0.11459375
femnist,12,112,stable-local-fallback,20,2.456862121625803,user_macro_accuracy,0.129775
