q_user,q_record,rep,exact_q_user,exact_q_record,released_q_user,released_q_record,expected_cell,selected_cell,expected_lambda,selected_lambda,misclassified,selection_record,selection_sha256
0.75,0.25,6,0.7507692307692306,0.2500330512956107,0.76956122795406,0.2514413013659705,u2-r0,u2-r0,0.9,0.9,False,q075_r025_rep06.json,58521b3abb5477a8f0b9be0ca9a07be23c114a8bdd80896339767209d9e08d4c
0.75,0.25,7,0.7507692307692306,0.2500330512956107,0.7328576093622206,0.25376084191423504,u2-r0,u2-r0,0.9,0.9,False,q075_r025_rep07.json,d58a7445216dcfecd45ba7e2bb1233540dcf7d6b23275d5e4c140ae637e823c2
0.75,0.25,8,0.7507692307692306,0.2500330512956107,0.7683847166969071,0.2620069313577182,u2-r0,u2-r0,0.9,0.9,False,q075_r025_rep08.json,8efb10a9d78d4ded1ad71212256cc7f86664dadd8761fe921b246c0f9ec08d16
0.75,0.25,9,0.7507692307692306,0.2500330512956107,0.7602745774529879,0.24161455044826413,u2-r0,u2-r0,0.9,0.9,False,q075_r025_rep09.json,2df037e717a31a66257df0ccd365bc2b1e4ee4f30f93e8547d39082659d460cf
0.75,0.5,0,0.7507692307692306,0.5000661025912214,0.7537122187465962,0.5174499122684596,u2-r1,u2-r1,0.9,0.9,False,q075_r050_rep00.json,d5b3573f421cffed6bd11ef55bcb71d253664d993864235980fda92e07d4d96b
0.75,0.5,1,0.7507692307692306,0.5000661025912214,0.7100192636559786,0.5246409768164922,u2-r1,u2-r1,0.9,0.9,False,q075_r050_rep01.json,54c322afc6a77d904192a26b3741eaf755d560bde7231cd964dc6ca3836e41a0
0.75,0.5,2,0.7507692307692306,0.5000661025912214,0.7389403653686766,0.5167292093010023,u2-r1,u2-r1,0.9,0.9,False,q075_r050_rep02.json,aa1ce6db0c0e1a7b7d4916695712ebad1ad7328dc2409d4ac342eaa04b28b81f
0.75,0.5,3,0.7507692307692306,0.5000661025912214,0.79106356869774,0.5158600019009985,u2-r1,u2-r1,0.9,0.9,False,q075_r050_rep03.json,5738e56c455256e4855dd722e454fa6ae248e67eec8d67f9679962b363f1a748
0.75,0.5,4,0.7507692307692306,0.5000661025912214,0.7444739553475462,0.5239959266102849,u2-r1,u2-r1,0.9,0.9,False,q075_r050_rep04.json,7f04353e10bd9dbd11b8b922f087ef3178f2865dbc419f803fe1d03d52cc9514
0.75,0.5,5,0.7507692307692306,0.5000661025912214,0.7382370107530556,0.48171719039962485,u2-r1,u2-r1,0.9,0.9,False,q075_r050_rep05.json,230673811ebb1727426059294cbd1c0277a0c11e3a1aa61fceca38636abe8b21
0.75,0.5,6,0.7507692307692306,0.5000661025912214,0.7944979154224172,0.483195889418636,u2-r1,u2-r1,0.9,0.9,False,q075_r050_rep06.json,7a0004a87b7a9008ddb45c0ddc1cb976952636329b76079ef5ab3862b79b2d65
0.75,0.5,7,0.7507692307692306,0.5000661025912214,0.7555375372476435,0.49124359059080985,u2-r1,u2-r1,0.9,0.9,False,q075_r050_rep07.json,39e006801f2eb720fced1db5743122ae2af125ab0ff6e1ccc21f2ce5a6bcbba5
0.75,0.5,8,0.7507692307692306,0.5000661025912214,0.7455550678228541,0.4961142698215819,u2-r1,u2-r1,0.9,0.9,False,q075_r050_rep08.json,22e93ce791d582028eb0f1aa40502ed954dbec724daad1c67d23479cb8e837e5
0.75,0.5,9,0.7507692307692306,0.5000661025912214,0.7649286128595756,0.46787685249928684,u2-r1,u2-r1,0.9,0.9,False,q075_r050_rep09.json,79795970ab9d4d40c296e735d7bc5e4016cd3dcd3f3aeae8f4830882fa87a484
0.75,0.75,0,0.7507692307692306,0.7499669487043893,0.7631189286645689,0.7503661081570399,u2-r2,u2-r2,0.9,0.9,False,q075_r075_rep00.json,ffd1fb7a17b8c07c35ff23b830654a7f7dc26c6194a762f6398f234ec5502b6b
0.75,0.75,1,0.7507692307692306,0.7499669487043893,0.7828774242199317,0.781392312883541,u2-r2,u2-r2,0.9,0.9,False,q075_r075_rep01.json,feabac017d4c5e5779acaabacabe81968d011ef870e9510425dcea41bd872743
0.75,0.75,2,0.7507692307692306,0.7499669487043893,0.7855338660973722,0.7475146708750025,u2-r2,u2-r2,0.9,0.9,False,q075_r075_rep02.json,a3bd345f39e537f5a921a857570da608dff66f80b02885a683bf11fadb16c73a
0.75,0.75,3,0.7507692307692306,0.7499669487043893,0.7386156424568201,0.7516605325075822,u2-r2,u2-r2,0.9,0.9,False,q075_r075_rep03.json,ac52b92ff410640706ecaa0f7f1e7658c9944c49869c84bcb200cdf69ddd1e2b
