dataset,threshold,entity_id,deleted_records,touched_components,touched_records,deleted_group_tags,inserted_group_tags,witnessed_wur,changed_surviving_records
febrl2,0.72,1411,2,1,2,1,0,1,0
febrl2,0.72,3031,1,1,4,1,1,2,3
febrl2,0.72,578,1,1,1,1,0,1,0
febrl2,0.72,822,1,1,2,1,1,2,1
febrl2,0.72,1460,1,1,1,1,0,1,0
febrl2,0.72,3910,1,1,4,1,2,3,3
febrl2,0.72,2549,1,1,1,1,0,1,0
febrl2,0.72,3977,1,1,1,1,0,1,0
febrl2,0.72,3059,1,1,1,1,0,1,0
febrl2,0.72,3084,4,1,6,1,1,2,2
febrl2,0.72,417,1,1,1,1,0,1,0
febrl2,0.72,832,1,1,1,1,0,1,0
febrl2,0.72,552,3,1,3,1,0,1,0
febrl2,0.72,895,1,1,1,1,0,1,0
febrl2,0.72,3731,4,1,5,1,1,2,1
febrl2,0.72,2943,1,1,1,1,0,1,0
febrl2,0.72,428,1,1,1,1,0,1,0
febrl2,0.72,2675,1,1,1,1,0,1,0
febrl2,0.72,2353,4,1,4,1,0,1,0
febrl2,0.72,1609,3,1,3,1,0,1,0
febrl2,0.72,2136,1,1,1,1,0,1,0
febrl2,0.72,2523,1,1,1,1,0,1,0
febrl2,0.72,1268,1,1,1,1,0,1,0
febrl2,0.72,549,1,1,1,1,0,1,0
febrl2,0.72,2434,1,1,1,1,0,1,0
febrl2,0.72,2175,1,1,2,1,1,2,1
febrl2,0.72,856,1,1,1,1,0,1,0
febrl2,0.72,3851,1,1,1,1,0,1,0
febrl2,0.72,639,3,1,3,1,0,1,0
febrl2,0.72,3149,1,1,1,1,0,1,0
febrl2,0.72,3530,4,1,9,1,2,3,5
febrl2,0.72,3051,1,1,1,1,0,1,0
febrl2,0.72,2321,5,1,5,1,0,1,0
febrl2,0.72,1151,4,1,4,1,0,1,0
febrl2,0.72,3626,1,1,1,1,0,1,0
febrl2,0.72,729,1,1,3,1,2,3,2
febrl2,0.72,363,1,1,1,1,0,1,0
febrl2,0.72,1523,1,1,1,1,0,1,0
febrl2,0.72,3778,1,1,1,1,0,1,0
febrl2,0.72,2046,1,1,1,1,0,1,0
febrl2,0.72,297,1,1,1,1,0,1,0
febrl2,0.72,2924,5,1,5,1,0,1,0
febrl2,0.72,3817,1,1,1,1,0,1,0
febrl2,0.72,3889,1,1,3,1,1,2,2
febrl2,0.72,2165,2,1,2,1,0,1,0
febrl2,0.72,3768,1,1,1,1,0,1,0
febrl2,0.72,3584,2,1,2,1,0,1,0
febrl2,0.72,3332,1,1,1,1,0,1,0
febrl2,0.72,528,1,1,1,1,0,1,0
febrl2,0.72,12,1,1,1,1,0,1,0
febrl2,0.72,387,1,1,1,1,0,1,0
febrl2,0.72,1652,1,1,1,1,0,1,0
febrl2,0.72,2183,4,1,4,1,0,1,0
febrl2,0.72,1416,1,1,1,1,0,1,0
febrl2,0.72,3779,4,2,4,2,0,2,0
febrl2,0.72,2168,1,1,1,1,0,1,0
febrl2,0.72,1598,1,1,1,1,0,1,0
febrl2,0.72,880,1,1,1,1,0,1,0
febrl2,0.72,2883,3,1,3,1,0,1,0
febrl2,0.72,3572,1,1,1,1,0,1,0
febrl2,0.72,2818,1,1,5,1,1,2,4
febrl2,0.72,1784,1,1,1,1,0,1,0
febrl2,0.72,3460,1,1,1,1,0,1,0
febrl2,0.72,3925,1,1,1,1,0,1,0
febrl2,0.72,1316,4,1,4,1,0,1,0
febrl2,0.72,3870,1,1,1,1,0,1,0
febrl2,0.72,2134,1,1,1,1,0,1,0
febrl2,0.72,1432,5,1,5,1,0,1,0
febrl2,0.72,2991,3,1,3,1,0,1,0
